species_id,canonical,source_file,sentence_id,source_raw,source_canonical,source_type,target_canonical,effect,confidence,evidence_quote,extraction_method,llm_error
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,0,light calcareous soils,calcareous_soil,soil_substrate,abundance,positive,1.0,most often on light calcareous soils.,llm_transformers,
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,1,crop,crop,land_use,habitat suitability,positive,1.0,It can persist where the crop is open and where cultivation creates bare ground for germination.,llm_transformers,
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,1,cultivation,cultivation,disturbance,habitat suitability,positive,1.0,It can persist where the crop is open and where cultivation creates bare ground for germination.,llm_transformers,
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,2,dense competitive vegetation,dense_vegetation,habitat_structure,habitat suitability,negative,1.0,Dense competitive vegetation and intensive herbicide use reduce habitat suitability.,llm_transformers,
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,2,intensive herbicide use,herbicide_use,management,habitat suitability,negative,1.0,Dense competitive vegetation and intensive herbicide use reduce habitat suitability.,llm_transformers,
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,3,arable margins,arable_margins,habitat structure,habitat suitability,positive,1.0,Local populations are most likely to be maintained where arable margins are managed for scarce plants.,llm_transformers,
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,4,loss of open cultivated margins,arable_margins,disturbance,abundance,negative,1.0,but loss of open cultivated margins remains a pressure.,llm_transformers,
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,5,southern-temperate,southern_temperate,climate,abundance,positive,1.0,A southern-temperate archaeophyte in Britain and the Channel Islands.,llm_transformers,
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,0,cool upland situations,cool_upland_situations,habitat_structure,habitat suitability,positive,1.0,in cool upland situations.,llm_transformers,
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,1,"short, open vegetation",short_vegetation,habitat_structure,habitat suitability,positive,1.0,"It depends on short, open vegetation and reliable moisture.",llm_transformers,
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,1,reliable moisture,reliable_moisture,hydrology,habitat suitability,positive,1.0,"It depends on short, open vegetation and reliable moisture.",llm_transformers,
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,3,flourishing conditions,flourishing_conditions,topography,habitat suitability,positive,0.9,Small colonies may fluctuate between years.,llm_transformers,
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,4,warmer drier summers,warmer_drier_summers,climate,habitat suitability,negative,1.0,warmer drier summers could increase stress on the shallow wet substrates used by the species.,llm_transformers,
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,5,warmer drier summers,warmer_drier_summers,climate,habitat suitability,negative,1.0,warmer drier summers could increase stress on the shallow wet substrates used by the species.,llm_transformers,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,0,bare sand,bare_sand,habitat_structure,habitat suitability,positive,1.0,"It is favored by bare sand and warm open microsites, and can also appear from garden escapes.",llm_transformers,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,1,bare sand,bare_sand,soil_substrate,habitat suitability,positive,1.0,is favoured by bare sand and warm open microsites,llm_transformers,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,1,warm open microsites,warm_microsites,habitat_structure,habitat suitability,positive,1.0,is favoured by bare sand and warm open microsites,llm_transformers,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,2,closed dune grassland,closed_dune_grassland,habitat_structure,habitat suitability,negative,1.0,Closed dune grassland and lack of disturbance reduce the open ground needed for recruitment.,llm_transformers,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,3,severe winter cold,severe_winter_cold,disturbance,population performance,negative,1.0,severe winter cold may limit establishment inland.,llm_transformers,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,4,seed supply,seed_supply,habitat structure,abundance,positive,1.0,Continued seed supply from gardens and disturbed urban ground may support local spread,llm_transformers,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,4,severe winter cold,severe_winter_cold,climate,habitat suitability,negative,1.0,while severe winter cold may limit establishment inland,llm_transformers,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,5,severe winter cold,severe_winter_cold,disturbance,population performance,negative,1.0,while severe winter cold may limit establishment inland.,llm_transformers,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,5,seed supply,seed_supply,disturbance,population performance,positive,1.0,Continued seed supply from gardens and disturbed urban ground may support local spread.,llm_transformers,
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,0,open soil,soil,habitat_structure,abundance,positive,1.0,requires open soil for germination,llm_transformers,
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,1,open soil,soil,soil_substrate,habitat suitability,positive,1.0,It requires open soil for germination and is easily overlooked among other dead-nettles.,llm_transformers,
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,2,modern weed control,modern_weed_control,management,abundance,negative,1.0,"Modern weed control, autumn-sown dense crops and reduced small-scale cultivation can lower the chance of plants reaching maturity.",llm_transformers,
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,3,lightly managed cultivated ground,managed_cultivated_ground,habitat_structure,abundance,negative,1.0,Declines are consistent with the loss of lightly managed cultivated ground.,llm_transformers,
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,4,target performance,target_performance,habitat structure,population performance,unknown,1.0,"Recent records may partly reflect targeted recording, so under-recording should be considered before treating absence as population loss.",llm_transformers,
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,5,northern archaeophyte,northern_archaeophyte,other,abundance,positive,1.0,A northern archaeophyte with scattered and often casual records.,llm_transformers,
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,0,disturbed mineral soil,disturbed_mineral_soil,disturbance,abundance,positive,0.9,regenerates from seed on disturbed mineral soil,llm_transformers,
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,1,disturbed mineral soil,disturbed_mineral_soil,soil_substrate,habitat suitability,positive,1.0,regenerates from seed on disturbed mineral soil,llm_transformers,
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,1,open rocky ground,rocky_ground,soil_substrate,habitat suitability,positive,1.0,"regenerates from seed on disturbed mineral soil, scree and open rocky ground",llm_transformers,
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,2,dry sites and waterlogged soils,sites_waterlogged_soils,hydrology,habitat suitability,negative,1.0,Very dry sites and waterlogged soils are less suitable for establishment.,llm_transformers,
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,3,soil disturbance,soil_disturbance,disturbance,abundance,positive,1.0,Natural regeneration can follow soil disturbance near planted trees.,llm_transformers,
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,4,larch pathogens,larch_pathogens,disease_pathogen,abundance,negative,1.0,Disease pressure from larch pathogens and felling of infected plantations can reduce local abundance,llm_transformers,
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,4,continued planting,continued_planting,management,abundance,positive,1.0,although continued planting creates new seed sources in some landscapes,llm_transformers,
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,5,larch pathogens,larch_pathogens,disease_pathogen,abundance,negative,0.7,Disease pressure from larch pathogens and felling of infected plantations can reduce local abundance,llm_transformers,
