source_type,semantic_cluster_id,semantic_cluster_label,members
climate,climate_001,severe_winter_cold,severe_winter_cold
climate,climate_002,southern_temperate,southern_temperate
climate,climate_003,warmer_drier_summers,warmer_drier_summers
disease_pathogen,disease_pathogen_001,larch_pathogens,larch_pathogens
disturbance,disturbance_001,arable_margins,arable_margins
disturbance,disturbance_002,cultivation,cultivation
disturbance,disturbance_003,disturbed_mineral_soil,disturbed_mineral_soil
disturbance,disturbance_004,seed_supply,seed_supply
disturbance,disturbance_005,severe_winter_cold,severe_winter_cold
disturbance,disturbance_006,soil_disturbance,soil_disturbance
habitat_structure,habitat_structure_001,bare_sand,bare_sand
habitat_structure,habitat_structure_002,closed_dune_grassland,closed_dune_grassland
habitat_structure,habitat_structure_003,cool_upland_situations,cool_upland_situations
habitat_structure,habitat_structure_004,dense_vegetation,dense_vegetation
habitat_structure,habitat_structure_005,managed_cultivated_ground,managed_cultivated_ground
habitat_structure,habitat_structure_006,short_vegetation,short_vegetation
habitat_structure,habitat_structure_007,soil,soil
habitat_structure,habitat_structure_008,warm_microsites,warm_microsites
hydrology,hydrology_001,reliable_moisture,reliable_moisture
hydrology,hydrology_002,sites_waterlogged_soils,sites_waterlogged_soils
land_use,land_use_001,crop,crop
management,management_001,continued_planting,continued_planting
management,management_002,herbicide_use,herbicide_use
management,management_003,modern_weed_control,modern_weed_control
soil_substrate,soil_substrate_001,bare_sand,bare_sand
soil_substrate,soil_substrate_002,calcareous_soil,calcareous_soil
soil_substrate,soil_substrate_003,disturbed_mineral_soil,disturbed_mineral_soil
soil_substrate,soil_substrate_004,rocky_ground,rocky_ground
soil_substrate,soil_substrate_005,soil,soil
topography,topography_001,flourishing_conditions,flourishing_conditions
