species_id,canonical,source_file,sentence_id,parse_status,n_candidate_edges,response_hash,diagnostic_note
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,0,parsed,1,25a4df249133,
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,1,parsed,2,8162dd5ebf90,
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,2,parsed,2,d1e416ba9734,
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,3,parsed,1,e368d44f8e52,
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,4,parsed,1,99e51f7730f3,
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,5,parsed,1,e807ad8ef8a8,
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,0,parsed,1,25844fcf1b69,
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,1,parsed,2,845cb8fc14a0,
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,2,unparsed_empty,0,b5b99830201d,response did not parse as JSON after deterministic cleanup; treated as no candidate edge
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,3,parsed,1,a7c68ce51f49,
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,4,parsed,1,c3786c1b705a,
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,5,parsed,1,29b3a8c7f3da,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,0,parsed,1,b8aa4bc4103c,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,1,parsed,2,82d96f8e58d7,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,2,parsed,1,54a9f7d704d9,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,3,parsed,1,2c000d60d6bb,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,4,parsed,2,53939c91cd60,
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,5,parsed,2,95f1542c3c80,
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,0,parsed,1,1d1062eeb396,
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,1,parsed,1,7061685d5343,
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,2,parsed,1,a66e5bbd1a74,
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,3,parsed,1,006bb10112cd,
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,4,parsed,1,52022e00c7f2,
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,5,parsed,1,1e1b4171992f,
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,0,parsed,1,f53a489ad55b,
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,1,parsed,2,e270797c6e7e,
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,2,parsed,1,d226987e8907,
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,3,parsed,1,92f11eb7cc57,
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,4,parsed,2,871b1c51124f,
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,5,parsed,1,00fdd1b46cc2,
