species_id,canonical,source_canonical,target_canonical,effect,source_types,source_raw_examples,source_canonical_examples,semantic_cluster_ids,n_evidence_sentences,sentence_ids,evidence_quotes,mean_confidence,max_confidence,extraction_methods,edge_origin,assumption
demo_001,Kickxia spuria,arable_margins,abundance,negative,disturbance,loss of open cultivated margins,arable_margins,disturbance_001,1,4,but loss of open cultivated margins remains a pressure.,1.0,1.0,llm_transformers,text_extracted,
demo_001,Kickxia spuria,calcareous_soil,abundance,positive,soil_substrate,light calcareous soils,calcareous_soil,soil_substrate_002,1,0,most often on light calcareous soils.,1.0,1.0,llm_transformers,text_extracted,
demo_001,Kickxia spuria,crop,habitat suitability,positive,land_use,crop,crop,land_use_001,1,1,It can persist where the crop is open and where cultivation creates bare ground for germination.,1.0,1.0,llm_transformers,text_extracted,
demo_001,Kickxia spuria,cultivation,habitat suitability,positive,disturbance,cultivation,cultivation,disturbance_002,1,1,It can persist where the crop is open and where cultivation creates bare ground for germination.,1.0,1.0,llm_transformers,text_extracted,
demo_001,Kickxia spuria,dense_vegetation,habitat suitability,negative,habitat_structure,dense competitive vegetation,dense_vegetation,habitat_structure_004,1,2,Dense competitive vegetation and intensive herbicide use reduce habitat suitability.,1.0,1.0,llm_transformers,text_extracted,
demo_001,Kickxia spuria,herbicide_use,habitat suitability,negative,management,intensive herbicide use,herbicide_use,management_002,1,2,Dense competitive vegetation and intensive herbicide use reduce habitat suitability.,1.0,1.0,llm_transformers,text_extracted,
demo_001,Kickxia spuria,southern_temperate,abundance,positive,climate,southern-temperate,southern_temperate,climate_002,1,5,A southern-temperate archaeophyte in Britain and the Channel Islands.,1.0,1.0,llm_transformers,text_extracted,
demo_002,Koenigia islandica,cool_upland_situations,habitat suitability,positive,habitat_structure,cool upland situations,cool_upland_situations,habitat_structure_003,1,0,in cool upland situations.,1.0,1.0,llm_transformers,text_extracted,
demo_002,Koenigia islandica,flourishing_conditions,habitat suitability,positive,topography,flourishing conditions,flourishing_conditions,topography_001,1,3,Small colonies may fluctuate between years.,0.9,0.9,llm_transformers,text_extracted,
demo_002,Koenigia islandica,reliable_moisture,habitat suitability,positive,hydrology,reliable moisture,reliable_moisture,hydrology_001,1,1,"It depends on short, open vegetation and reliable moisture.",1.0,1.0,llm_transformers,text_extracted,
demo_002,Koenigia islandica,short_vegetation,habitat suitability,positive,habitat_structure,"short, open vegetation",short_vegetation,habitat_structure_006,1,1,"It depends on short, open vegetation and reliable moisture.",1.0,1.0,llm_transformers,text_extracted,
demo_002,Koenigia islandica,warmer_drier_summers,habitat suitability,negative,climate,warmer drier summers,warmer_drier_summers,climate_003,2,4; 5,warmer drier summers could increase stress on the shallow wet substrates used by the species.,1.0,1.0,llm_transformers,text_extracted,
demo_003,Lagurus ovatus,bare_sand,habitat suitability,positive,habitat_structure; soil_substrate,bare sand,bare_sand,habitat_structure_001; soil_substrate_001,2,0; 1,"It is favored by bare sand and warm open microsites, and can also appear from garden escapes. || is favoured by bare sand and warm open microsites",1.0,1.0,llm_transformers,text_extracted,
demo_003,Lagurus ovatus,closed_dune_grassland,habitat suitability,negative,habitat_structure,closed dune grassland,closed_dune_grassland,habitat_structure_002,1,2,Closed dune grassland and lack of disturbance reduce the open ground needed for recruitment.,1.0,1.0,llm_transformers,text_extracted,
demo_003,Lagurus ovatus,seed_supply,population performance,positive,disturbance,seed supply,seed_supply,disturbance_004,1,5,Continued seed supply from gardens and disturbed urban ground may support local spread.,1.0,1.0,llm_transformers,text_extracted,
demo_003,Lagurus ovatus,severe_winter_cold,habitat suitability,negative,climate,severe winter cold,severe_winter_cold,climate_001,1,4,while severe winter cold may limit establishment inland,1.0,1.0,llm_transformers,text_extracted,
demo_003,Lagurus ovatus,severe_winter_cold,population performance,negative,disturbance,severe winter cold,severe_winter_cold,disturbance_005,2,3; 5,severe winter cold may limit establishment inland. || while severe winter cold may limit establishment inland.,1.0,1.0,llm_transformers,text_extracted,
demo_003,Lagurus ovatus,warm_microsites,habitat suitability,positive,habitat_structure,warm open microsites,warm_microsites,habitat_structure_008,1,1,is favoured by bare sand and warm open microsites,1.0,1.0,llm_transformers,text_extracted,
demo_004,Lamium confertum,managed_cultivated_ground,abundance,negative,habitat_structure,lightly managed cultivated ground,managed_cultivated_ground,habitat_structure_005,1,3,Declines are consistent with the loss of lightly managed cultivated ground.,1.0,1.0,llm_transformers,text_extracted,
demo_004,Lamium confertum,modern_weed_control,abundance,negative,management,modern weed control,modern_weed_control,management_003,1,2,"Modern weed control, autumn-sown dense crops and reduced small-scale cultivation can lower the chance of plants reaching maturity.",1.0,1.0,llm_transformers,text_extracted,
demo_004,Lamium confertum,soil,abundance,positive,habitat_structure,open soil,soil,habitat_structure_007,1,0,requires open soil for germination,1.0,1.0,llm_transformers,text_extracted,
demo_004,Lamium confertum,soil,habitat suitability,positive,soil_substrate,open soil,soil,soil_substrate_005,1,1,It requires open soil for germination and is easily overlooked among other dead-nettles.,1.0,1.0,llm_transformers,text_extracted,
demo_005,Larix decidua,continued_planting,abundance,positive,management,continued planting,continued_planting,management_001,1,4,although continued planting creates new seed sources in some landscapes,1.0,1.0,llm_transformers,text_extracted,
demo_005,Larix decidua,disturbed_mineral_soil,abundance,positive,disturbance,disturbed mineral soil,disturbed_mineral_soil,disturbance_003,1,0,regenerates from seed on disturbed mineral soil,0.9,0.9,llm_transformers,text_extracted,
demo_005,Larix decidua,disturbed_mineral_soil,habitat suitability,positive,soil_substrate,disturbed mineral soil,disturbed_mineral_soil,soil_substrate_003,1,1,regenerates from seed on disturbed mineral soil,1.0,1.0,llm_transformers,text_extracted,
demo_005,Larix decidua,larch_pathogens,abundance,negative,disease_pathogen,larch pathogens,larch_pathogens,disease_pathogen_001,2,4; 5,Disease pressure from larch pathogens and felling of infected plantations can reduce local abundance,0.85,1.0,llm_transformers,text_extracted,
demo_005,Larix decidua,rocky_ground,habitat suitability,positive,soil_substrate,open rocky ground,rocky_ground,soil_substrate_004,1,1,"regenerates from seed on disturbed mineral soil, scree and open rocky ground",1.0,1.0,llm_transformers,text_extracted,
demo_005,Larix decidua,sites_waterlogged_soils,habitat suitability,negative,hydrology,dry sites and waterlogged soils,sites_waterlogged_soils,hydrology_002,1,2,Very dry sites and waterlogged soils are less suitable for establishment.,1.0,1.0,llm_transformers,text_extracted,
demo_005,Larix decidua,soil_disturbance,abundance,positive,disturbance,soil disturbance,soil_disturbance,disturbance_006,1,3,Natural regeneration can follow soil disturbance near planted trees.,1.0,1.0,llm_transformers,text_extracted,
demo_001,Kickxia spuria,habitat suitability,abundance,positive,model_assumption,,habitat suitability,,0,,,,,,model_bridge,Assumes that higher habitat suitability tends to support higher abundance.
demo_002,Koenigia islandica,habitat suitability,abundance,positive,model_assumption,,habitat suitability,,0,,,,,,model_bridge,Assumes that higher habitat suitability tends to support higher abundance.
demo_003,Lagurus ovatus,habitat suitability,abundance,positive,model_assumption,,habitat suitability,,0,,,,,,model_bridge,Assumes that higher habitat suitability tends to support higher abundance.
demo_003,Lagurus ovatus,population performance,abundance,positive,model_assumption,,population performance,,0,,,,,,model_bridge,Assumes that higher population performance tends to support higher abundance.
demo_004,Lamium confertum,habitat suitability,abundance,positive,model_assumption,,habitat suitability,,0,,,,,,model_bridge,Assumes that higher habitat suitability tends to support higher abundance.
demo_005,Larix decidua,habitat suitability,abundance,positive,model_assumption,,habitat suitability,,0,,,,,,model_bridge,Assumes that higher habitat suitability tends to support higher abundance.
